COU,Country,Status,Species,Animals
LTU,Lithuania,CRIT,FISH,3
LUX,Luxembourg,CRIT,FISH,3
FRA,France,CRIT,FISH,3
LTU,Lithuania,VULN,AMPHIBIAN,3
EST,Estonia,THREAT,MAMMAL,3
FRA,France,VULN,FISH,3
GRC,Greece,CRIT,MAMMAL,3
FRA,France,CRIT,MAMMAL,3
LTU,Lithuania,ENDG,MAMMAL,3
NLD,Netherlands,ENDG,MAMMAL,3
DNK,Denmark,CRIT,FISH,3
IRL,Ireland,KNOW,REPTILE,3
CZE,Czech Republic,VULN,REPTILE,3
AUT,Austria,VULN,REPTILE,3
DNK,Denmark,ENDG,FISH,3
FRA,France,ENDG,AMPHIBIAN,3
BEL,Belgium,CRIT,AMPHIBIAN,3
CRI,Costa Rica,CRIT,INVERTEB,3
LVA,Latvia,ENDG,MAMMAL,3
AUT,Austria,CRIT,REPTILE,3
CZE,Czech Republic,VULN,AMPHIBIAN,3
GRC,Greece,VULN,AMPHIBIAN,3
EST,Estonia,CRIT,FISH,3
CZE,Czech Republic,ENDG,REPTILE,3
HUN,Hungary,ENDG,MAMMAL,3
SWE,Sweden,ENDG,MAMMAL,3
LTU,Lithuania,VULN,LICHEN,3
COL,Colombia,ENDG,FISH,3
CAN,Canada,CRIT,FISH,3
NLD,Netherlands,CRIT,FISH,3
NLD,Netherlands,ENDG,FISH,3
EST,Estonia,THREAT,AMPHIBIAN,3
FRA,France,ENDG,REPTILE,3
AUT,Austria,ENDG,REPTILE,3
AUT,Austria,ENDG,AMPHIBIAN,3
EST,Estonia,CRIT,FISH,3
POL,Poland,THREAT,REPTILE,3
BEL,Belgium,ENDG,FISH,3
BEL,Belgium,ENDG,AMPHIBIAN,3
DEU,Germany,ENDG,REPTILE,3
FIN,Finland,ENDG,FISH,3
GBR,United Kingdom,ENDG,FISH,3
CHE,Switzerland,CRIT,REPTILE,3
KOR,Korea,VULN,AMPHIBIAN,3
LUX,Luxembourg,CRIT,FISH,3
AUS,Australia,CRIT,FISH,3
BEL,Belgium,CRIT,FISH,3
NLD,Netherlands,VULN,AMPHIBIAN,3
SVK,Slovak Republic,ENDG,AMPHIBIAN,3
SVN,Slovenia,ENDG,AMPHIBIAN,3
CHL,Chile,CRIT,MAMMAL,3
MEX,Mexico,THREAT,FISH,3
CZE,Czech Republic,ENDG,AMPHIBIAN,3
LVA,Latvia,CRIT,MOSS,3
IRL,Ireland,KNOW,AMPHIBIAN,3
NOR,Norway,VULN,FISH,2
LTU,Lithuania,THREAT,REPTILE,2
KOR,Korea,ENDG,AMPHIBIAN,2
LTU,Lithuania,VULN,FISH,2
PRT,Portugal,VULN,AMPHIBIAN,2
POL,Poland,CRIT,MAMMAL,2
SWE,Sweden,THREAT,REPTILE,2
JPN,Japan,VULN,FISH,2
GBR,United Kingdom,ENDG,REPTILE,2
ESP,Spain,ENDG,FISH,2
NLD,Netherlands,CRIT,AMPHIBIAN,2
LTU,Lithuania,CRIT,FISH,2
HUN,Hungary,THREAT,AMPHIBIAN,2
FIN,Finland,VULN,MAMMAL,2
GRC,Greece,ENDG,AMPHIBIAN,2
NLD,Netherlands,CRIT,MAMMAL,2
DEU,Germany,ENDG,AMPHIBIAN,2
LTU,Lithuania,VULN,FISH,2
EST,Estonia,THREAT,REPTILE,2
PRT,Portugal,THREAT,AMPHIBIAN,2
ITA,Italy,CRIT,MAMMAL,2
GBR,United Kingdom,CRIT,MAMMAL,2
ESP,Spain,ENDG,AMPHIBIAN,2
NZL,New Zealand,VULN,MOSS,2
EST,Estonia,CRIT,FISH,2
MEX,Mexico,VULN,FISH,2
LUX,Luxembourg,THREAT,REPTILE,2
LUX,Luxembourg,VULN,REPTILE,2
MEX,Mexico,VULN,MOSS,2
NLD,Netherlands,ENDG,AMPHIBIAN,2
DNK,Denmark,ENDG,MAMMAL,2
NZL,New Zealand,ENDG,LICHEN,2
POL,Poland,THREAT,FISH,2
EST,Estonia,CRIT,MAMMAL,2
AUS,Australia,ENDG,FISH,2
BEL,Belgium,ENDG,MAMMAL,2
LVA,Latvia,VULN,MAMMAL,2
CRI,Costa Rica,THREAT,MOSS,2
NLD,Netherlands,ENDG,FISH,2
CRI,Costa Rica,CRIT,REPTILE,2
CRI,Costa Rica,CRIT,BIRD,2
BEL,Belgium,VULN,REPTILE,2
BEL,Belgium,ENDG,REPTILE,2
CZE,Czech Republic,ENDG,FISH,2
BEL,Belgium,CRIT,FISH,2
MEX,Mexico,THREAT,MOSS,2
CAN,Canada,CRIT,AMPHIBIAN,2
SWE,Sweden,THREAT,FISH,2
DNK,Denmark,VULN,FISH,2
LVA,Latvia,THREAT,FISH,2
EST,Estonia,ENDG,AMPHIBIAN,2
LVA,Latvia,CRIT,LICHEN,2
COL,Colombia,ENDG,FISH,2
DNK,Denmark,CRIT,FISH,2
LVA,Latvia,THREAT,REPTILE,2
COL,Colombia,CRIT,FISH,2
CZE,Czech Republic,ENDG,FISH,2
CHL,Chile,CRIT,BIRD,2
CHL,Chile,THREAT,LICHEN,2
LUX,Luxembourg,CRIT,AMPHIBIAN,2
LVA,Latvia,VULN,AMPHIBIAN,2
GBR,United Kingdom,THREAT,AMPHIBIAN,2
CRI,Costa Rica,VULN,MOSS,2
GBR,United Kingdom,THREAT,REPTILE,2
SVK,Slovak Republic,CRIT,MAMMAL,2
SWE,Sweden,VULN,REPTILE,2
GRC,Greece,ENDG,REPTILE,2
ESP,Spain,CRIT,MAMMAL,2
NOR,Norway,VULN,FISH,2
FIN,Finland,ENDG,AMPHIBIAN,1
BEL,Belgium,ENDG,FISH,1
SWE,Sweden,VULN,FISH,1
GBR,United Kingdom,CRIT,AMPHIBIAN,1
NOR,Norway,CRIT,FISH,1
CRI,Costa Rica,CRIT,FISH,1
NOR,Norway,CRIT,FISH,1
POL,Poland,VULN,FISH,1
CZE,Czech Republic,ENDG,MAMMAL,1
CHL,Chile,VULN,FISH,1
CHL,Chile,CRIT,LICHEN,1
NOR,Norway,THREAT,AMPHIBIAN,1
NOR,Norway,CRIT,AMPHIBIAN,1
POL,Poland,CRIT,FISH,1
CHL,Chile,CRIT,FISH,1
GBR,United Kingdom,ENDG,AMPHIBIAN,1
EST,Estonia,VULN,AMPHIBIAN,1
FIN,Finland,CRIT,MAMMAL,1
EST,Estonia,ENDG,FISH,1
