COU,Country,Status,Species,Animals
AUT,Austria,ENDG,VASCULAR_PLANT,348
COL,Colombia,VULN,VASCULAR_PLANT,345
DEU,Germany,CRIT,LICHEN,337
SVN,Slovenia,THREAT,VASCULAR_PLANT,334
CAN,Canada,ENDG,VASCULAR_PLANT,325
DNK,Denmark,VULN,INVERTEB,319
CAN,Canada,CRIT,VASCULAR_PLANT,315
NOR,Norway,KNOW,FISH,312
SVK,Slovak Republic,THREAT,MOSS,311
BRA,Brazil,THREAT,FISH,311
AUT,Austria,ENDG,INVERTEB,310
AUT,Austria,CRIT,INVERTEB,302
BRA,Brazil,THREAT,INVERTEB,299
COL,Colombia,THREAT,AMPHIBIAN,299
CAN,Canada,ENDG,INVERTEB,295
CAN,Canada,THREAT,MOSS,294
NZL,New Zealand,KNOW,FISH,289
CZE,Czech Republic,CRIT,VASCULAR_PLANT,284
CHE,Switzerland,VULN,MOSS,282
DEU,Germany,KNOW,BIRD,280
NOR,Norway,KNOW,FISH,278
ITA,Italy,KNOW,BIRD,278
SVN,Slovenia,KNOW,FISH,273
SWE,Sweden,THREAT,VASCULAR_PLANT,270
